p cnf 200 400
97 164 30 198 87 19 198 15 114 102 30 185 198 9 3 41 151 118 111 123 77 14 137 93 24 188 41 34 65 13 72 114 177 54 65 64 26 63 31 92 117 62 77 116 71 32 109 22 103 21 97 180 35 35 73 11 175 66 197 192 79 22 107 8 76 172 72 54 187 56 146 105 118 23 173 141 8 82 115 111 55 12 91 43 199 117 6 127 183 4 71 15 26 178 23 54 102 48 109 90 104 55 147 174 31 72 115 39 106 30 102 162 194 193 157 146 62 163 73 198 119 144 13 97 75 36 152 177 84 13 19 188 20 118 114 51 190 29 42 49 11 144 163 6 90 120 152 104 35 177 102 107 73 115 4 148 104 108 78 188 121 49 129 94 120 43 145 110 25 140 111 36 36 74 194 78 194 98 183 182 75 85 89 101 153 45 49 57 106 79 197 27 129 78 121 49 122 19 111 99 0
181 148 -94 0
140 193 -177 0
109 92 -86 0
-21 -161 123 0
119 172 -38 0
-111 -191 113 0
94 -155 -118 0
55 114 19 0
37 186 -114 0
-9 -116 -117 0
-18 183 147 0
95 -59 -54 0
-65 -179 149 0
165 19 134 0
-17 -176 -86 0
-96 -135 49 0
-137 57 -47 0
-185 164 86 0
73 -78 -106 0
-99 -191 96 0
-130 -176 52 0
-6 161 124 0
-28 111 74 0
155 33 -53 0
51 176 -187 0
181 -128 133 0
175 73 -117 0
-16 34 -98 0
175 -86 -189 0
-128 -152 -31 0
32 124 59 0
170 104 135 0
-64 -153 -57 0
190 -57 114 0
-8 -178 -138 0
-188 169 111 0
-185 -74 -108 0
-9 99 147 0
-120 33 135 0
24 104 83 0
88 179 -38 0
-108 -51 7 0
-34 -3 -76 0
-104 145 -179 0
158 113 -147 0
-82 -38 -65 0
-168 135 13 0
-88 -108 137 0
-27 146 192 0
185 -120 -179 0
43 10 -113 0
-97 79 2 0
172 -22 -48 0
-173 -109 -16 0
176 20 96 0
-9 -34 146 0
-103 66 149 0
98 81 159 0
-106 154 -119 0
-166 -57 72 0
84 78 -186 0
102 -189 -80 0
11 -172 23 0
126 3 15 0
36 -111 -59 0
-200 -116 159 0
-89 154 186 0
-43 -174 71 0
88 -198 90 0
115 36 113 0
90 -88 144 0
-8 -137 -52 0
-102 145 -103 0
108 -3 160 0
-92 -188 110 0
161 166 10 0
59 -55 65 0
-132 74 161 0
-61 22 -141 0
194 -19 -68 0
-154 9 -108 0
16 200 5 0
85 132 24 0
-153 139 -155 0
108 -100 89 0
172 -98 -3 0
53 -130 171 0
31 186 -174 0
68 -75 -148 0
18 -10 59 0
-143 15 -37 0
163 -8 68 0
-140 105 -196 0
-153 -181 -24 0
147 84 -12 0
172 -169 130 0
140 -58 -153 0
182 -86 113 0
62 176 -151 0
-4 -24 -95 0
62 192 -67 0
-100 179 -96 0
-111 147 132 0
141 195 13 0
-80 131 8 0
59 -144 136 0
-25 -113 82 0
-200 -163 -63 0
-104 113 80 0
-3 -16 -108 0
-186 -142 60 0
-165 -111 -75 0
-10 88 30 0
185 -168 161 0
87 51 -53 0
58 -49 -112 0
-38 43 146 0
-195 -123 -193 0
-182 -132 -82 0
-128 87 133 0
95 -35 193 0
15 71 -154 0
121 102 -57 0
166 -35 91 0
-59 80 -191 0
-92 142 183 0
81 -97 74 0
-68 -98 31 0
17 64 10 0
70 128 -197 0
192 94 -116 0
183 -62 -105 0
-54 -172 -6 0
-186 -69 144 0
177 184 53 0
-64 91 -153 0
-50 -170 -52 0
148 75 -80 0
130 -180 -135 0
74 189 42 0
-143 -104 -12 0
-25 195 -125 0
156 -5 -20 0
-10 40 151 0
-192 -62 50 0
-47 -138 51 0
73 197 -47 0
-87 -130 168 0
-75 -150 -50 0
167 -92 25 0
37 -73 -138 0
-46 122 94 0
158 -40 195 0
-74 169 109 0
-81 -11 76 0
196 -187 -133 0
-129 50 -70 0
-183 99 73 0
-33 -156 -79 0
156 72 37 0
86 13 90 0
-68 113 79 0
-162 62 125 0
86 114 163 0
-198 -91 117 0
-9 199 -68 0
29 82 -194 0
85 -162 71 0
-71 -199 55 0
200 -166 56 0
190 78 -21 0
-180 -75 99 0
-164 72 152 0
-146 31 -21 0
-66 139 93 0
-45 -80 151 0
-159 -58 89 0
179 174 111 0
-67 190 -160 0
147 40 -96 0
-14 -23 -99 0
12 62 -153 0
35 -49 171 0
41 -161 -30 0
-2 -51 -86 0
50 97 -64 0
-155 158 -83 0
-126 -111 102 0
191 -78 -32 0
45 -50 185 0
152 -44 130 0
-79 124 72 0
-137 -30 -199 0
-104 -155 20 0
68 158 -159 0
105 163 -85 0
-16 114 -19 0
-73 149 69 0
115 180 -100 0
-193 -189 162 0
-93 -59 4 0
-157 104 103 0
179 -85 -133 0
111 -23 -84 0
37 -144 -74 0
-182 180 4 0
-139 175 -124 0
91 129 -81 0
-51 -150 -146 0
-180 107 11 0
162 169 23 0
49 -87 -195 0
1 -88 -79 0
110 86 -79 0
68 29 -38 0
195 66 189 0
30 3 102 0
76 117 -142 0
167 -184 193 0
-4 68 158 0
72 83 97 0
-132 172 -44 0
159 -36 145 0
-93 -169 26 0
77 -148 150 0
-176 78 -60 0
127 193 -173 0
-164 -93 159 0
74 77 26 0
-112 -11 -16 0
30 -137 -78 0
176 98 -59 0
-17 -151 -174 0
18 113 112 0
-121 89 90 0
77 87 200 0
-200 85 -137 0
-190 27 -16 0
138 9 124 0
136 145 -10 0
-101 -160 154 0
-119 54 147 0
89 193 131 0
77 178 -116 0
169 38 -155 0
-88 44 -126 0
-197 13 95 0
155 129 175 0
