"Crossover Probability" "Result" "Ratio 1.5"
0.0 38 2.564102564102564%
0.01 38 2.564102564102564%
0.02 38 2.564102564102564%
0.03 37 5.128205128205128%
0.04 38 2.564102564102564%
0.05 38 2.564102564102564%
0.060000000000000005 38 2.564102564102564%
0.07 38 2.564102564102564%
0.08 38 2.564102564102564%
0.09 37 5.128205128205128%
0.09999999999999999 38 2.564102564102564%
0.10999999999999999 37 5.128205128205128%
0.11999999999999998 38 2.564102564102564%
0.12999999999999998 37 5.128205128205128%
0.13999999999999999 38 2.564102564102564%
0.15 37 5.128205128205128%
0.16 38 2.564102564102564%
0.17 38 2.564102564102564%
0.18000000000000002 38 2.564102564102564%
0.19000000000000003 37 5.128205128205128%
0.20000000000000004 38 2.564102564102564%
0.21000000000000005 38 2.564102564102564%
0.22000000000000006 38 2.564102564102564%
0.23000000000000007 37 5.128205128205128%
0.24000000000000007 38 2.564102564102564%
0.25000000000000006 38 2.564102564102564%
0.26000000000000006 38 2.564102564102564%
0.2700000000000001 37 5.128205128205128%
0.2800000000000001 37 5.128205128205128%
0.2900000000000001 37 5.128205128205128%
0.3000000000000001 37 5.128205128205128%
0.3100000000000001 38 2.564102564102564%
0.3200000000000001 38 2.564102564102564%
0.3300000000000001 37 5.128205128205128%
0.34000000000000014 38 2.564102564102564%
0.35000000000000014 38 2.564102564102564%
0.36000000000000015 38 2.564102564102564%
0.37000000000000016 38 2.564102564102564%
0.38000000000000017 37 5.128205128205128%
0.3900000000000002 37 5.128205128205128%
0.4000000000000002 38 2.564102564102564%
0.4100000000000002 38 2.564102564102564%
0.4200000000000002 37 5.128205128205128%
0.4300000000000002 38 2.564102564102564%
0.4400000000000002 38 2.564102564102564%
0.45000000000000023 38 2.564102564102564%
0.46000000000000024 38 2.564102564102564%
0.47000000000000025 36 7.6923076923076925%
0.48000000000000026 37 5.128205128205128%
0.49000000000000027 37 5.128205128205128%
0.5000000000000002 38 2.564102564102564%
0.5100000000000002 38 2.564102564102564%
0.5200000000000002 38 2.564102564102564%
0.5300000000000002 37 5.128205128205128%
0.5400000000000003 38 2.564102564102564%
0.5500000000000003 36 7.6923076923076925%
0.5600000000000003 37 5.128205128205128%
0.5700000000000003 38 2.564102564102564%
0.5800000000000003 37 5.128205128205128%
0.5900000000000003 38 2.564102564102564%
0.6000000000000003 38 2.564102564102564%
0.6100000000000003 37 5.128205128205128%
0.6200000000000003 37 5.128205128205128%
0.6300000000000003 37 5.128205128205128%
0.6400000000000003 38 2.564102564102564%
0.6500000000000004 37 5.128205128205128%
0.6600000000000004 37 5.128205128205128%
0.6700000000000004 37 5.128205128205128%
0.6800000000000004 38 2.564102564102564%
0.6900000000000004 38 2.564102564102564%
0.7000000000000004 37 5.128205128205128%
0.7100000000000004 37 5.128205128205128%
0.7200000000000004 37 5.128205128205128%
0.7300000000000004 37 5.128205128205128%
0.7400000000000004 37 5.128205128205128%
0.7500000000000004 37 5.128205128205128%
0.7600000000000005 37 5.128205128205128%
0.7700000000000005 38 2.564102564102564%
0.7800000000000005 37 5.128205128205128%
0.7900000000000005 38 2.564102564102564%
0.8000000000000005 39 0.0%
0.8100000000000005 37 5.128205128205128%
0.8200000000000005 37 5.128205128205128%
0.8300000000000005 37 5.128205128205128%
0.8400000000000005 37 5.128205128205128%
0.8500000000000005 38 2.564102564102564%
0.8600000000000005 37 5.128205128205128%
0.8700000000000006 37 5.128205128205128%
0.8800000000000006 38 2.564102564102564%
0.8900000000000006 38 2.564102564102564%
0.9000000000000006 37 5.128205128205128%
0.9100000000000006 37 5.128205128205128%
0.9200000000000006 38 2.564102564102564%
0.9300000000000006 38 2.564102564102564%
0.9400000000000006 36 7.6923076923076925%
0.9500000000000006 38 2.564102564102564%
0.9600000000000006 37 5.128205128205128%
0.9700000000000006 37 5.128205128205128%
0.9800000000000006 36 7.6923076923076925%
0.9900000000000007 37 5.128205128205128%
1.0000000000000007 37 5.128205128205128%
