"Max Generations" "Result" "Ratio 1.5"
5 34 12.82051282051282%
10 36 7.6923076923076925%
15 36 7.6923076923076925%
20 36 7.6923076923076925%
25 36 7.6923076923076925%
30 36 7.6923076923076925%
35 38 2.564102564102564%
40 37 5.128205128205128%
45 37 5.128205128205128%
50 37 5.128205128205128%
55 37 5.128205128205128%
60 37 5.128205128205128%
65 38 2.564102564102564%
70 37 5.128205128205128%
75 38 2.564102564102564%
80 37 5.128205128205128%
85 38 2.564102564102564%
90 36 7.6923076923076925%
95 37 5.128205128205128%
100 38 2.564102564102564%
105 37 5.128205128205128%
110 38 2.564102564102564%
115 37 5.128205128205128%
120 37 5.128205128205128%
125 37 5.128205128205128%
130 37 5.128205128205128%
135 37 5.128205128205128%
140 38 2.564102564102564%
145 38 2.564102564102564%
150 38 2.564102564102564%
155 38 2.564102564102564%
160 38 2.564102564102564%
165 38 2.564102564102564%
170 37 5.128205128205128%
175 38 2.564102564102564%
180 37 5.128205128205128%
185 38 2.564102564102564%
190 37 5.128205128205128%
195 38 2.564102564102564%
200 38 2.564102564102564%
205 38 2.564102564102564%
210 37 5.128205128205128%
215 38 2.564102564102564%
220 38 2.564102564102564%
225 37 5.128205128205128%
230 37 5.128205128205128%
235 38 2.564102564102564%
240 38 2.564102564102564%
245 38 2.564102564102564%
250 37 5.128205128205128%
255 38 2.564102564102564%
260 37 5.128205128205128%
265 38 2.564102564102564%
270 38 2.564102564102564%
275 38 2.564102564102564%
280 38 2.564102564102564%
285 37 5.128205128205128%
290 38 2.564102564102564%
295 38 2.564102564102564%
300 38 2.564102564102564%
305 37 5.128205128205128%
310 38 2.564102564102564%
315 38 2.564102564102564%
320 37 5.128205128205128%
325 37 5.128205128205128%
330 38 2.564102564102564%
335 38 2.564102564102564%
340 38 2.564102564102564%
345 38 2.564102564102564%
350 37 5.128205128205128%
355 38 2.564102564102564%
360 37 5.128205128205128%
365 37 5.128205128205128%
370 38 2.564102564102564%
375 38 2.564102564102564%
380 38 2.564102564102564%
385 38 2.564102564102564%
390 38 2.564102564102564%
395 38 2.564102564102564%
400 38 2.564102564102564%
405 38 2.564102564102564%
410 38 2.564102564102564%
415 39 0.0%
420 38 2.564102564102564%
425 37 5.128205128205128%
430 38 2.564102564102564%
435 38 2.564102564102564%
440 38 2.564102564102564%
445 38 2.564102564102564%
450 37 5.128205128205128%
455 38 2.564102564102564%
460 36 7.6923076923076925%
465 37 5.128205128205128%
470 38 2.564102564102564%
475 38 2.564102564102564%
480 38 2.564102564102564%
485 38 2.564102564102564%
490 38 2.564102564102564%
495 37 5.128205128205128%
500 38 2.564102564102564%
