"Mutation Probability" "Best value" "Ratio 1.5"
0.0 23 41.02564102564102%
0.001 31 20.51282051282051%
0.002 35 10.256410256410255%
0.003 36 7.6923076923076925%
0.004 34 12.82051282051282%
0.005 36 7.6923076923076925%
0.006 36 7.6923076923076925%
0.007 35 10.256410256410255%
0.008 36 7.6923076923076925%
0.009000000000000001 35 10.256410256410255%
0.010000000000000002 36 7.6923076923076925%
0.011000000000000003 35 10.256410256410255%
0.012000000000000004 36 7.6923076923076925%
0.013000000000000005 35 10.256410256410255%
0.014000000000000005 36 7.6923076923076925%
0.015000000000000006 38 2.564102564102564%
0.016000000000000007 36 7.6923076923076925%
0.017000000000000008 36 7.6923076923076925%
0.01800000000000001 36 7.6923076923076925%
0.01900000000000001 37 5.128205128205128%
0.02000000000000001 37 5.128205128205128%
0.02100000000000001 38 2.564102564102564%
0.022000000000000013 37 5.128205128205128%
0.023000000000000013 37 5.128205128205128%
0.024000000000000014 38 2.564102564102564%
0.025000000000000015 37 5.128205128205128%
0.026000000000000016 37 5.128205128205128%
0.027000000000000017 37 5.128205128205128%
0.028000000000000018 37 5.128205128205128%
0.02900000000000002 38 2.564102564102564%
0.03000000000000002 38 2.564102564102564%
0.03100000000000002 38 2.564102564102564%
0.03200000000000002 38 2.564102564102564%
0.03300000000000002 38 2.564102564102564%
0.03400000000000002 38 2.564102564102564%
0.035000000000000024 38 2.564102564102564%
0.036000000000000025 37 5.128205128205128%
0.037000000000000026 38 2.564102564102564%
0.03800000000000003 38 2.564102564102564%
0.03900000000000003 38 2.564102564102564%
0.04000000000000003 38 2.564102564102564%
0.04100000000000003 38 2.564102564102564%
0.04200000000000003 38 2.564102564102564%
0.04300000000000003 38 2.564102564102564%
0.04400000000000003 38 2.564102564102564%
0.04500000000000003 38 2.564102564102564%
0.046000000000000034 39 0.0%
0.047000000000000035 38 2.564102564102564%
0.048000000000000036 38 2.564102564102564%
0.04900000000000004 38 2.564102564102564%
0.05000000000000004 38 2.564102564102564%
0.05 38 2.564102564102564%
0.051000000000000004 38 2.564102564102564%
0.052000000000000005 38 2.564102564102564%
0.053000000000000005 38 2.564102564102564%
0.054000000000000006 38 2.564102564102564%
0.05500000000000001 38 2.564102564102564%
0.05600000000000001 38 2.564102564102564%
0.05700000000000001 38 2.564102564102564%
0.05800000000000001 38 2.564102564102564%
0.05900000000000001 38 2.564102564102564%
0.06000000000000001 38 2.564102564102564%
0.06100000000000001 38 2.564102564102564%
0.06200000000000001 38 2.564102564102564%
0.06300000000000001 38 2.564102564102564%
0.06400000000000002 39 0.0%
0.06500000000000002 38 2.564102564102564%
0.06600000000000002 38 2.564102564102564%
0.06700000000000002 38 2.564102564102564%
0.06800000000000002 38 2.564102564102564%
0.06900000000000002 38 2.564102564102564%
0.07000000000000002 38 2.564102564102564%
0.07100000000000002 38 2.564102564102564%
0.07200000000000002 38 2.564102564102564%
0.07300000000000002 38 2.564102564102564%
0.07400000000000002 38 2.564102564102564%
0.07500000000000002 38 2.564102564102564%
0.07600000000000003 38 2.564102564102564%
0.07700000000000003 38 2.564102564102564%
0.07800000000000003 37 5.128205128205128%
0.07900000000000003 37 5.128205128205128%
0.08000000000000003 38 2.564102564102564%
0.08100000000000003 38 2.564102564102564%
0.08200000000000003 37 5.128205128205128%
0.08300000000000003 37 5.128205128205128%
0.08400000000000003 36 7.6923076923076925%
0.08500000000000003 36 7.6923076923076925%
0.08600000000000003 36 7.6923076923076925%
0.08700000000000004 37 5.128205128205128%
0.08800000000000004 36 7.6923076923076925%
0.08900000000000004 35 10.256410256410255%
0.09000000000000004 35 10.256410256410255%
0.09100000000000004 35 10.256410256410255%
0.09200000000000004 36 7.6923076923076925%
0.09300000000000004 33 15.384615384615385%
0.09400000000000004 34 12.82051282051282%
0.09500000000000004 35 10.256410256410255%
0.09600000000000004 34 12.82051282051282%
0.09700000000000004 35 10.256410256410255%
0.09800000000000005 33 15.384615384615385%
0.09900000000000005 34 12.82051282051282%
0.10000000000000005 34 12.82051282051282%
