"Mutation Probability" "Result" "Dynamic Ratio 1.5"
0.0 19 51.28205128205128%
0.001 34 12.82051282051282%
0.002 35 10.256410256410255%
0.003 36 7.6923076923076925%
0.004 34 12.82051282051282%
0.005 34 12.82051282051282%
0.006 35 10.256410256410255%
0.007 34 12.82051282051282%
0.008 36 7.6923076923076925%
0.009000000000000001 35 10.256410256410255%
0.010000000000000002 37 5.128205128205128%
0.011000000000000003 36 7.6923076923076925%
0.012000000000000004 36 7.6923076923076925%
0.013000000000000005 37 5.128205128205128%
0.014000000000000005 36 7.6923076923076925%
0.015000000000000006 36 7.6923076923076925%
0.016000000000000007 35 10.256410256410255%
0.017000000000000008 37 5.128205128205128%
0.01800000000000001 37 5.128205128205128%
0.01900000000000001 37 5.128205128205128%
0.02000000000000001 38 2.564102564102564%
0.02100000000000001 38 2.564102564102564%
0.022000000000000013 37 5.128205128205128%
0.023000000000000013 38 2.564102564102564%
0.024000000000000014 37 5.128205128205128%
0.025000000000000015 38 2.564102564102564%
0.026000000000000016 37 5.128205128205128%
0.027000000000000017 38 2.564102564102564%
0.028000000000000018 38 2.564102564102564%
0.02900000000000002 37 5.128205128205128%
0.03000000000000002 38 2.564102564102564%
0.03100000000000002 38 2.564102564102564%
0.03200000000000002 37 5.128205128205128%
0.03300000000000002 38 2.564102564102564%
0.03400000000000002 38 2.564102564102564%
0.035000000000000024 37 5.128205128205128%
0.036000000000000025 38 2.564102564102564%
0.037000000000000026 38 2.564102564102564%
0.03800000000000003 38 2.564102564102564%
0.03900000000000003 38 2.564102564102564%
0.04000000000000003 37 5.128205128205128%
0.04100000000000003 38 2.564102564102564%
0.04200000000000003 38 2.564102564102564%
0.04300000000000003 39 0.0%
0.04400000000000003 38 2.564102564102564%
0.04500000000000003 38 2.564102564102564%
0.046000000000000034 38 2.564102564102564%
0.047000000000000035 38 2.564102564102564%
0.048000000000000036 38 2.564102564102564%
0.04900000000000004 38 2.564102564102564%
0.05000000000000004 38 2.564102564102564%
0.05100000000000004 38 2.564102564102564%
0.05200000000000004 38 2.564102564102564%
0.05300000000000004 38 2.564102564102564%
0.05400000000000004 38 2.564102564102564%
0.05500000000000004 38 2.564102564102564%
0.05600000000000004 38 2.564102564102564%
0.057000000000000044 38 2.564102564102564%
0.058000000000000045 38 2.564102564102564%
0.059000000000000045 38 2.564102564102564%
0.060000000000000046 38 2.564102564102564%
0.06100000000000005 38 2.564102564102564%
0.06200000000000005 38 2.564102564102564%
0.06300000000000004 38 2.564102564102564%
0.06400000000000004 38 2.564102564102564%
0.06500000000000004 38 2.564102564102564%
0.06600000000000004 38 2.564102564102564%
0.06700000000000005 38 2.564102564102564%
0.06800000000000005 38 2.564102564102564%
0.06900000000000005 38 2.564102564102564%
0.07000000000000005 38 2.564102564102564%
0.07100000000000005 38 2.564102564102564%
0.07200000000000005 38 2.564102564102564%
0.07300000000000005 38 2.564102564102564%
0.07400000000000005 38 2.564102564102564%
0.07500000000000005 38 2.564102564102564%
0.07600000000000005 37 5.128205128205128%
0.07700000000000005 38 2.564102564102564%
0.07800000000000006 38 2.564102564102564%
0.07900000000000006 38 2.564102564102564%
0.08000000000000006 37 5.128205128205128%
0.08100000000000006 37 5.128205128205128%
0.08200000000000006 38 2.564102564102564%
0.08300000000000006 37 5.128205128205128%
0.08400000000000006 37 5.128205128205128%
0.08500000000000006 37 5.128205128205128%
0.08600000000000006 36 7.6923076923076925%
0.08700000000000006 37 5.128205128205128%
0.08800000000000006 35 10.256410256410255%
0.08900000000000007 37 5.128205128205128%
0.09000000000000007 36 7.6923076923076925%
0.09100000000000007 36 7.6923076923076925%
0.09200000000000007 36 7.6923076923076925%
0.09300000000000007 36 7.6923076923076925%
0.09400000000000007 36 7.6923076923076925%
0.09500000000000007 36 7.6923076923076925%
0.09600000000000007 35 10.256410256410255%
0.09700000000000007 35 10.256410256410255%
0.09800000000000007 35 10.256410256410255%
0.09900000000000007 34 12.82051282051282%
