"Population Size" "Result" "Ratio 2.0"
5 31 20.51282051282051%
10 32 17.94871794871795%
15 31 20.51282051282051%
20 31 20.51282051282051%
25 32 17.94871794871795%
30 31 20.51282051282051%
35 33 15.384615384615385%
40 32 17.94871794871795%
45 32 17.94871794871795%
50 32 17.94871794871795%
55 32 17.94871794871795%
60 32 17.94871794871795%
65 33 15.384615384615385%
70 33 15.384615384615385%
75 31 20.51282051282051%
80 33 15.384615384615385%
85 33 15.384615384615385%
90 34 12.82051282051282%
95 33 15.384615384615385%
100 33 15.384615384615385%
105 33 15.384615384615385%
110 34 12.82051282051282%
115 34 12.82051282051282%
120 33 15.384615384615385%
125 34 12.82051282051282%
130 34 12.82051282051282%
