"Tournament capacity" "Result" "Ratio 1.5"
1 20 48.717948717948715%
2 37 5.128205128205128%
3 37 5.128205128205128%
4 37 5.128205128205128%
5 37 5.128205128205128%
6 37 5.128205128205128%
7 38 2.564102564102564%
8 37 5.128205128205128%
9 37 5.128205128205128%
10 39 0.0%
11 38 2.564102564102564%
12 37 5.128205128205128%
13 38 2.564102564102564%
14 38 2.564102564102564%
15 38 2.564102564102564%
16 37 5.128205128205128%
17 37 5.128205128205128%
18 37 5.128205128205128%
19 37 5.128205128205128%
20 38 2.564102564102564%
21 37 5.128205128205128%
22 38 2.564102564102564%
23 37 5.128205128205128%
24 37 5.128205128205128%
25 37 5.128205128205128%
26 37 5.128205128205128%
27 36 7.6923076923076925%
28 36 7.6923076923076925%
29 38 2.564102564102564%
30 37 5.128205128205128%
