"Tournament Capacity" "Result" "Ratio 2.0"
1 21 46.15384615384615%
2 31 20.51282051282051%
3 32 17.94871794871795%
4 32 17.94871794871795%
5 34 12.82051282051282%
6 31 20.51282051282051%
7 33 15.384615384615385%
8 31 20.51282051282051%
9 32 17.94871794871795%
10 32 17.94871794871795%
11 31 20.51282051282051%
12 31 20.51282051282051%
13 32 17.94871794871795%
14 33 15.384615384615385%
15 31 20.51282051282051%
16 32 17.94871794871795%
17 33 15.384615384615385%
18 31 20.51282051282051%
19 32 17.94871794871795%
20 31 20.51282051282051%
21 31 20.51282051282051%
22 31 20.51282051282051%
23 32 17.94871794871795%
24 31 20.51282051282051%
25 32 17.94871794871795%
26 33 15.384615384615385%
27 33 15.384615384615385%
28 31 20.51282051282051%
29 30 23.076923076923077%
30 32 17.94871794871795%
